City_ID,City,City_ID,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
279,Faya,279,td,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
281,Kavaratti,281,in,83.61,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
283,Paracuru,283,br,80.01,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
284,Bathsheba,284,bb,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
285,Mount Isa,285,au,89.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
286,Ginda,286,er,66.2,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
287,Borba,287,br,73.72,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
290,Oudtshoorn,290,za,60.8,scattered clouds,-33.5907,22.2014,Earthbound Guest House
291,Shingu,291,jp,68.0,broken clouds,33.7333,135.9833,Shingu UI Hotel
293,Labuhan,293,id,83.7,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
295,Puerto Ayacucho,295,ve,75.15,light rain,5.6639,-67.6236,Posada Turistica Manapiare
297,Champerico,297,gt,70.0,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
299,Kudahuvadhoo,299,mv,83.79,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
300,Gariaband,300,in,78.8,haze,20.635,82.0614,हंसराज ट्रैक्टर
302,Luau,302,ao,62.29,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
303,Baculin,303,ph,82.2,overcast clouds,7.4525,126.5842,Shovy's Cove
305,Port Lincoln,305,au,80.17,clear sky,-34.7333,135.8667,Port Lincoln Hotel
308,Port Blair,308,in,78.73,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
309,Manggar,309,id,84.24,overcast clouds,-2.8833,108.2667,Guest Hotel
311,Lata,311,sb,61.0,broken clouds,40.1629,-8.3327,Casa Maquia
312,Honiara,312,sb,84.0,overcast clouds,-9.4333,159.95,Heritage Park Hotel
314,Warri,314,ng,77.67,overcast clouds,5.5167,5.75,BON Hotel Delta
318,Bambous Virieux,318,mu,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
320,Meulaboh,320,id,75.27,overcast clouds,4.1363,96.1285,Kost Pria
321,San Cristobal,321,ec,77.0,few clouds,7.7669,-72.225,Posada Villaven C.A.
322,Lake Charles,322,us,60.8,overcast clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
324,Seoul,324,kr,68.0,clear sky,37.5683,126.9778,Lotte Hotel Seoul
327,San Juan,327,us,70.93,clear sky,-31.5375,-68.5364,Hotel Provincial
329,Leeton,329,au,77.0,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
332,San Pedro,332,bz,90.0,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
335,Cairns,335,au,86.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
336,Quatre Cocos,336,mu,77.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
