City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
202,Aksarka,66.5606,67.7975,17.13,95,100,10.74,light snow
203,Lorengau,-2.0226,147.2712,83.88,72,78,3.27,broken clouds
204,Yarada,17.65,83.2667,80.6,100,75,4.61,mist
205,Rebrikha,53.0733,82.3408,15.04,94,74,5.19,broken clouds
206,Paita,-5.0892,-81.1144,71.1,79,23,15.66,few clouds
207,Fort Nelson,58.8053,-122.7002,46.4,27,90,2.3,overcast clouds
208,Manali,13.1667,80.2667,80.6,83,20,6.91,mist
209,Hambantota,6.1241,81.1185,77.0,100,20,3.44,few clouds
210,Saskylakh,71.9167,114.0833,-24.09,99,100,7.92,overcast clouds
211,Olinda,-8.0089,-34.8553,82.4,80,75,6.91,broken clouds
212,Cayenne,4.9333,-52.3333,80.01,83,0,5.75,clear sky
213,Kimbe,-5.5502,150.1429,87.64,63,89,6.22,overcast clouds
214,Karratha,-20.7377,116.8463,91.81,25,0,9.91,clear sky
215,Saint George,37.1041,-113.5841,71.01,6,1,3.44,clear sky
216,Jiexiu,37.0244,111.9125,58.05,45,100,4.56,overcast clouds
217,Vostok,46.4856,135.8833,38.12,69,14,6.6,few clouds
218,Barranca,-10.75,-77.7667,68.79,86,19,5.61,few clouds
219,Tiksi,71.6872,128.8694,-6.84,97,100,10.69,overcast clouds
220,Ribas Do Rio Pardo,-20.4431,-53.7592,70.97,67,2,5.37,clear sky
221,La Romana,18.4273,-68.9728,75.2,94,20,10.36,few clouds
222,Gwembe,-16.4975,27.6069,57.92,75,7,1.61,clear sky
223,Kisangani,0.5167,25.2,72.43,88,100,1.95,overcast clouds
224,Kikwit,-5.041,18.8162,68.81,97,100,1.36,light rain
225,Belmonte,-15.8631,-38.8828,80.6,83,75,6.91,moderate rain
226,Liverpool,53.4106,-2.9779,51.8,82,22,16.11,few clouds
227,Puerto Escondido,15.85,-97.0667,84.2,74,1,5.12,clear sky
228,Sendafa,9.15,39.0333,52.81,50,75,2.51,broken clouds
229,Tura,25.5198,90.2201,76.3,77,18,5.21,few clouds
230,Aberdeen,57.1437,-2.0981,35.01,93,40,5.75,scattered clouds
231,Baishishan,43.5833,127.5667,55.98,34,53,3.67,broken clouds
232,Manaure,11.7751,-72.4445,79.93,68,23,20.29,few clouds
233,Inongo,-1.95,18.2667,70.38,95,100,3.22,moderate rain
234,Pemberton,50.3164,-122.8027,50.0,50,75,2.3,broken clouds
235,Ola,59.5833,151.2833,27.07,77,48,3.02,scattered clouds
236,Luganville,-15.5333,167.1667,83.79,75,99,3.29,overcast clouds
237,Whitehorse,60.7161,-135.0538,33.8,60,75,10.36,light snow
238,Drezdenko,52.8383,15.8308,51.06,81,58,4.27,broken clouds
239,Zhigansk,66.7697,123.3711,11.73,73,100,6.2,overcast clouds
240,Vytegra,61.0064,36.4481,30.96,95,75,7.99,broken clouds
