City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Kyabe,TD,2020-10-04 18:42:36,9.45,18.94,76.17,84,100,2.51
198,Bhadrachalam,IN,2020-10-04 18:42:36,17.67,80.88,74.62,95,100,3.62
199,Esperance,AU,2020-10-04 18:42:36,-33.87,121.9,48.2,93,75,9.17
200,Wanning,CN,2020-10-04 18:42:37,18.8,110.4,79.12,84,100,4.72
201,Portland,US,2020-10-04 18:42:37,45.52,-122.68,59.0,82,90,5.82
202,Tuatapere,NZ,2020-10-04 18:42:38,-46.13,167.68,48.99,97,91,5.99
203,Komsomolskiy,UZ,2020-10-04 18:42:38,40.43,71.72,57.2,50,27,6.93
204,Iqaluit,CA,2020-10-04 18:40:01,63.75,-68.51,35.6,80,90,12.75
205,Vila Velha,BR,2020-10-04 18:42:38,-20.33,-40.29,81.0,78,20,12.75
206,Fortuna,US,2020-10-04 18:42:39,40.6,-124.16,55.4,100,90,3.36
207,Udayagiri,IN,2020-10-04 18:42:39,20.13,84.38,69.87,100,84,1.77
208,Progreso,MX,2020-10-04 18:42:39,21.28,-89.67,80.01,94,90,13.87
209,Lappeenranta,FI,2020-10-04 18:42:40,61.06,28.19,50.0,93,90,10.29
210,Khatanga,RU,2020-10-04 18:42:40,71.97,102.5,21.97,97,100,18.99
211,Jiwani,PK,2020-10-04 18:42:40,25.05,61.74,84.61,63,0,5.32
212,Aranos,NA,2020-10-04 18:42:41,-24.13,19.12,74.79,19,44,8.68
213,Sabha,LY,2020-10-04 18:42:41,27.04,14.43,90.3,12,100,11.72
214,Gizo,SB,2020-10-04 18:42:42,-8.1,156.84,81.21,77,11,10.18
215,Norman Wells,CA,2020-10-04 18:42:42,65.28,-126.83,48.2,81,90,6.93
216,Tahoua,NE,2020-10-04 18:42:42,14.89,5.27,89.6,43,0,4.7
217,Puri,IN,2020-10-04 18:42:42,19.8,85.85,77.0,100,40,4.54
218,Port Blair,IN,2020-10-04 18:42:42,11.67,92.75,80.35,84,100,10.51
219,Pacific Grove,US,2020-10-04 18:42:43,36.62,-121.92,71.6,87,40,4.7
220,Sinjar,IQ,2020-10-04 18:42:43,36.32,41.88,73.62,20,0,8.1
221,Sur,OM,2020-10-04 18:42:44,22.57,59.53,82.08,59,0,7.87
222,Panguipulli,CL,2020-10-04 18:42:44,-39.63,-72.33,60.8,48,40,9.17
223,East London,ZA,2020-10-04 18:42:44,-33.02,27.91,66.2,88,75,13.87
224,Numan,NG,2020-10-04 18:42:44,9.47,12.03,81.23,73,100,3.85
225,Bethel,US,2020-10-04 18:42:44,41.37,-73.41,66.0,39,20,9.17
226,San Cristobal,VE,2020-10-04 18:38:46,7.77,-72.22,93.2,44,40,9.17
227,Skjervoy,NO,2020-10-04 18:42:45,70.03,20.97,50.0,76,0,14.99
228,Sovetskiy,RU,2020-10-04 18:42:45,61.36,63.58,33.55,86,100,6.02
229,Tezu,IN,2020-10-04 18:42:45,27.92,96.17,74.98,79,25,3.42
230,Kenai,US,2020-10-04 18:42:46,60.55,-151.26,45.0,81,1,12.75
231,Gwadar,PK,2020-10-04 18:42:46,25.12,62.33,84.16,60,0,6.29
232,Shahr-E Babak,IR,2020-10-04 18:42:47,30.12,55.12,64.65,27,0,9.6
233,Nizwa,OM,2020-10-04 18:42:47,22.93,57.53,82.35,29,0,4.32
234,Tulun,RU,2020-10-04 18:42:47,54.56,100.58,30.6,94,0,4.72
235,Beloha,MG,2020-10-04 18:42:47,-25.17,45.05,63.95,74,11,13.76
236,Georgetown,MY,2020-10-04 18:40:10,5.41,100.34,80.6,88,20,2.21
237,Hay River,CA,2020-10-04 18:42:49,60.82,-115.8,53.6,50,75,11.41
238,Zelenogorskiy,RU,2020-10-04 18:42:49,55.03,87.0,44.6,70,40,6.71
239,Dabola,GN,2020-10-04 18:42:50,10.75,-11.12,73.96,89,100,4.36
240,Bukachacha,RU,2020-10-04 18:42:50,52.98,116.92,28.96,88,0,3.51
